MODELS_EMITTER_CONSTRUCTOR_DEBUG: Parsed schemas count: 1959
  SchemaKeyInConstructor: FeedbackResponse, Name: FeedbackResponse, Type: object
  SchemaKeyInConstructor: FeedbackListResponseData, Name: FeedbackListResponseData, Type: array
  SchemaKeyInConstructor: FeedbackListResponse, Name: FeedbackListResponse, Type: object
  SchemaKeyInConstructor: MessageBatchResponseData, Name: MessageBatchResponseData, Type: array
  SchemaKeyInConstructor: MessageBatchResponse, Name: MessageBatchResponse, Type: object
  SchemaKeyInConstructor: DataSourceEventId, Name: DataSourceEventId, Type: string
  SchemaKeyInConstructor: DataSourceEventDataSourceId, Name: DataSourceEventDataSourceId, Type: string
  SchemaKeyInConstructor: DataSourceEventType, Name: DataSourceEventType, Type: string
  SchemaKeyInConstructor: DataSourceEventMessage, Name: DataSourceEventMessage, Type: string
  SchemaKeyInConstructor: DataSourceEventTimestamp, Name: DataSourceEventTimestamp, Type: string
  SchemaKeyInConstructor: DataSourceEvent, Name: DataSourceEvent, Type: object
  SchemaKeyInConstructor: CleanDocumentRequestUrl, Name: CleanDocumentRequestUrl, Type: string
  SchemaKeyInConstructor: CleanDocumentRequestHtml, Name: CleanDocumentRequestHtml, Type: string
  SchemaKeyInConstructor: CleanDocumentRequest, Name: CleanDocumentRequest, Type: object
  SchemaKeyInConstructor: CleanDocumentResponseDataContent, Name: CleanDocumentResponseDataContent, Type: string
  SchemaKeyInConstructor: CleanDocumentResponseData, Name: CleanDocumentResponseData, Type: object
  SchemaKeyInConstructor: CleanDocumentResponse, Name: CleanDocumentResponse, Type: object
  SchemaKeyInConstructor: AgentConfigResponseDataConfig, Name: AgentConfigResponseDataConfig, Type: object
  SchemaKeyInConstructor: AgentConfigResponseData, Name: AgentConfigResponseData, Type: object
  SchemaKeyInConstructor: AgentConfigResponse, Name: AgentConfigResponse, Type: object
  SchemaKeyInConstructor: AgentDataSourceListResponseDataItemAgentId, Name: AgentDataSourceListResponseDataItemAgentId, Type: string
  SchemaKeyInConstructor: AgentDataSourceListResponseDataItemDataSourceId, Name: AgentDataSourceListResponseDataItemDataSourceId, Type: string
  SchemaKeyInConstructor: AgentDataSourceListResponseDataItem, Name: AgentDataSourceListResponseDataItem, Type: object
  SchemaKeyInConstructor: AgentDataSourceListResponseData, Name: AgentDataSourceListResponseData, Type: array
  SchemaKeyInConstructor: AgentDataSourceListResponse, Name: AgentDataSourceListResponse, Type: object
  SchemaKeyInConstructor: JsonResponseData, Name: JsonResponseData, Type: object
  SchemaKeyInConstructor: JsonResponse, Name: JsonResponse, Type: object
  SchemaKeyInConstructor: JsonObject, Name: JsonObject, Type: object
  SchemaKeyInConstructor: ErrorResponseErrorCode, Name: ErrorResponseErrorCode, Type: string
  SchemaKeyInConstructor: ErrorResponseErrorMessage, Name: ErrorResponseErrorMessage, Type: string
  SchemaKeyInConstructor: ErrorResponseErrorDetailsItemPath, Name: ErrorResponseErrorDetailsItemPath, Type: string
  SchemaKeyInConstructor: ErrorResponseErrorDetailsItemMessage, Name: ErrorResponseErrorDetailsItemMessage, Type: string
  SchemaKeyInConstructor: ErrorResponseErrorDetailsItem, Name: ErrorResponseErrorDetailsItem, Type: object
  SchemaKeyInConstructor: ErrorResponseErrorDetails, Name: ErrorResponseErrorDetails, Type: array
  SchemaKeyInConstructor: ErrorResponseError, Name: ErrorResponseError, Type: object
  SchemaKeyInConstructor: ErrorResponse, Name: ErrorResponse, Type: object
  SchemaKeyInConstructor: ListenResponseConnectionId, Name: ListenResponseConnectionId, Type: string
  SchemaKeyInConstructor: ListenResponseFilters, Name: ListenResponseFilters, Type: object
  SchemaKeyInConstructor: ListenResponse, Name: ListenResponse, Type: object
  SchemaKeyInConstructor: AgentCreate, Name: AgentCreate, Type: object
  SchemaKeyInConstructor: AgentUpdate, Name: AgentUpdate, Type: object
  SchemaKeyInConstructor: ChatCreate, Name: ChatCreate, Type: object
  SchemaKeyInConstructor: ChatUpdate, Name: ChatUpdate, Type: object
  SchemaKeyInConstructor: DataSourceCreate, Name: DataSourceCreate, Type: object
  SchemaKeyInConstructor: DataSourceUpdate, Name: DataSourceUpdate, Type: object
  SchemaKeyInConstructor: DocumentCreate, Name: DocumentCreate, Type: object
  SchemaKeyInConstructor: DocumentUpdate, Name: DocumentUpdate, Type: object
  SchemaKeyInConstructor: EmbeddingCreate, Name: EmbeddingCreate, Type: object
  SchemaKeyInConstructor: EmbeddingUpdate, Name: EmbeddingUpdate, Type: object
  SchemaKeyInConstructor: FeedbackCreate, Name: FeedbackCreate, Type: object
